2025-07-30 17:24:22 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-07-30 17:24:24 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-07-30 17:24:25 INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-07-30 17:24:25 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-07-30 17:24:25 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-07-30 17:24:25 INFO  c.s.O.OnlyStudentApplication - Started OnlyStudentApplication in 17.217 seconds (process running for 20.892)
2025-07-30 17:25:02 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-07-30 17:25:02 INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-07-30 17:25:02 INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2025-07-30 17:25:04 INFO  c.s.O.c.AuthenticationController - Token está válido!
2025-07-30 17:25:38 INFO  c.s.O.c.AuthenticationController - Token está válido!
2025-07-30 17:25:39 WARN  o.s.d.w.c.SpringDataJacksonConfiguration$PageModule$PlainPageSerializationWarning - Serializing PageImpl instances as-is is not supported, meaning that there is no guarantee about the stability of the resulting JSON structure!
	For a stable JSON structure, please use Spring Data's PagedModel (globally via @EnableSpringDataWebSupport(pageSerializationMode = VIA_DTO))
	or Spring HATEOAS and Spring Data's PagedResourcesAssembler as documented in https://docs.spring.io/spring-data/commons/reference/repositories/core-extensions.html#core.web.pageables.

2025-07-30 17:25:42 INFO  c.s.O.c.AuthenticationController - Token está válido!
2025-07-30 17:27:51 INFO  c.s.O.c.AuthenticationController - Token está válido!
2025-07-30 17:28:25 INFO  c.s.O.c.AuthenticationController - Token está válido!
2025-07-30 17:28:29 INFO  c.s.O.c.AuthenticationController - Token está válido!
2025-07-30 17:28:30 INFO  c.s.O.c.AuthenticationController - Token está válido!
2025-07-30 17:43:56 INFO  c.s.O.c.AuthenticationController - Token está válido!
2025-07-30 21:16:33 INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 3 class path changes (3 additions, 0 deletions, 0 modifications)
2025-07-30 21:16:33 INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"]
2025-07-30 21:16:33 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
